mensagem,odio
USER Adorei o comercial também Jesus. Só achei que faltou um beijinho gay estilo Jesus e USER sabe?! Rsrsrs,OFF
Cara isso foi muito babaca geral USER conhece o Monark e as merda que ele fala. Isso é muito merda eu USER E to decepcionada pra caralho mas não cabe a mim dizer,OFF
Quem liga pra judeu kkkk,OFF
"Se vc for porco, folgado e relaxado, você não ia conseguir viver com ela mesmo. Realmente, gente escrota não ia conseguir conviver com a Jojo",OFF
USER Toma no cu é vitamina como tu e tua prima.,OFF
Se fosse um sniper ia ser louco,OFF
USER é o meu saco USER USER USER,OFF
"Muita gente julgando e falando besteira. USER, os dois erraram ela em ter traído e ele em ter ficado com mulher casada. Agora os homens se coloquem no lugar dele, morando na rua, sem mulher, com um tempão sem transar e surge uma oportunidade dessa... Meu amigo, eu mesmo tenho praticamente certeza que não ia recusar. Sejam sinceros e se coloquem no lugar dele antes de julgar galera. Os dois estavam errados, só que a mulher nessa polêmica aí estava mais errada. Ele com tá com a oportunidade de mudar de vida agora, só basta ele querer e não crescer o olho de mais. É essencial fazer um acompanhamento psicológico pelo tanto de coisa que ele já passou e que não fique mais com mulher alheia, pq isso mata.",OFF
USER Trasmonte olha lá! Uma besta quadrada!,OFF
"USER já vai tarde. Ele que estragava esse podcast. Sempre falou muita mer** e sem fundamento e sem conhecimento de causa nenhuma. E detalhe, não é a primeira vez. Isso só está acontecendo pq dessa vez ele conseguiu defender o absurdo, do absurdo do absurdo. Não que das outras vezes já não fosse um absurdo sem tamanho, tanto que foi lá atrás que parei de seguir e acompanhar o canal. Decisão tardia mas, enfim acertada, do Flow. Espero que ele aprenda com seus erros e se torne um ser humano melhor e não volte mais para o Flow.",OFF
"USER USER, exatamente. E quem abusa pra caralh* também? A família tradicional brasileira e os USER.",OFF
Não vai arrumar trabalho nem de limpar bosta de cavalo na rua... USER,OFF
desgraçada 🗣🗣 URL,OFF
"Em um país extremamente homofobico, é necessário ensinar o respeito e o amor para com todos!!!",NOT
USER demoníaco sei chato mentiroso baba só pega dinheiro do povo meu USER toda hora hora coronavius bolsonario com o filhos são os meus USER,OFF
USER Como el ternero: MAMANDO.,OFF
AAAAAA ADRIAN SUAR HIJO DE RE MIL PUTA COMO TE ODIO URL,OFF
"USER To realizado igual tu gordola, tava no jogo!",OFF
USER Matadora 🔥☄😍,OFF
"Que aventura dessa mulher louca, poderia ter ocorrido coisa pior.",OFF
"USER USER USER Zelensky n é nazista, ele n manda em todos os soldados ucranianos, ele foi atacado pelo assassino russo e seus chechenos terroristas... pergunto novamente, pq vc apoia o assassino putin, e o hamas terrorista?",OFF
"os looks do lolla simplesmente uma sequência de “é de uma imbecilidade atroz, de uma grosseria, de uma vulgaridade em vários momentos imperdoável”",OFF
