mensagem,odio
Geraldo Alckmin vs Jair Bolsonaro esquerda escolher ficar merenda cu,1
vacilar buceta q to segurar celular entror Buso pq medroso,1
dia jovem passar vergonha Internet,0
chip claro,0
lixo vir tona,1
porra mãe botar 20 real crédito eu crédito chegouchip tóxico,0
excitar rabo viado psicopata escrotar filho puta atacar cagor merda mané filho puta,1
ouvir avô obra bolsonaro ok link,0
Rapunzel,0
rt n existir gente gostar lixo,1
pessoa dever ouvir garota presidente aparecer tv causa fala cabir líder país,1
DEPUTADAS BANCADA FEMINISTA TIRAM PROVEITO DIA INTERNACIONAL MULHERES,0
achar,0
jeito nenhum caso Mta gnt vir mimimi pra querer so q n tar achar d,0
vc n fandom n conviver cm gente sair faland merda deixar levar mentira problema entender q nng ameaçar nng LASCAR,1
mercado reager movimentação político caso procur queda bolsa Argentina taxa juro,0
obstáculo casa,1
amar carioca,0
Crie filha forte entenda corpo regra Evitem fraco verdade poder impor mentira pescoço rédea Deuses ateu ficar foda pra caralho,1
avaliei pretty girls 4 5 estrela link,0
vc n curitiba n ter tar andar regata reclamar calor,0
proibir merda,1
saúde link,0
ir colar testa,0
caloteira,0
ustra homenagear che homenagear,0
pai pupila pobi tamanho mundo desviar olhar bichinha viver jogo prova resistência msm,0
preciso sair mão c alguém p liberar raiva,1
claro né,0
tá esquerda falar incendiar país ninguém falar,1
poder sair Logan preto branco várias musica Johnny Cash,1
hoje rap cervo erva muito larica,0
S restar 8 busca Eis levar novembro brasileiro,0
agua link,0
cu,1
t friu,0
irmao negócio super blá blá blá tar servir pra exol falar nct puta merda,1
pqp professor contar comigo pra,1
desistar viver sociedade,0
raiva pqp,1
rt amigo fei pqp,0
refugiado Muçulmanos flagrar atacar Polícia Nacional Francesa manifestante anarquista,0
criminoso vir pronto,1
notícia plantar mto kkk,0
achar ir morrer fumar cigarro,0
vagabundo junto dia 13 mandar currículo pra sair inutilidade membro unir,1
pq foto bom postar pq feio,1
pai matar filha 6 ano tirar escola pra desconfiar agressão tar guarda criança pra pagar pensão 200 REAIS tomar cu país lixo,1
patriarcado brasileiro Homens nojento veer menina mulher,1
ai vcs sao chato pa caraio,0
epiduo começo dps vitacid gel,0
Gente perguntar criminos começar revolução queimar onibus invadir residencia promover terrorismo fazer Chile qie esperar governo responda livro flor,1
mano morar gente preguiçoso inutil nao mover musculo pra porra minimo,1
odio fixo xoxa capengo,0
vagabundo,1
direito bolsonaro,0
elemento falar frase insultar desprezar desmerecer algum mulher criar criatura,1
mulher doentepilantra,1
trabalhar palhaço palhaçada,1
Bruxa ladrar dozinferno,0
arrendar pra plantar saca consiga manter ir q rebolar,0
eu eu coloque porra pedestal,0
amar tt,0
Manuela doar salário pra eu COMUNISTA,0
rt vídeo antigo putinho cavalgar vms marcar orgia colocar bagulho doidão,0
Joice vc ta pior pirralha,0
aproveitar foto,0
par amigo link,0
fetiche rola kkkkkkkkkkkkk,0
cacife representante Povoele capacidade intelectual exercer cargo público,0
ir ficar calado,0
dia pra acordar presente jornalista VERGONHA canal CANALHA haver,0
rt veloz furioso começar vingador terminar moano,1
kkk,0
BRASIL P RUAS MOSTRAR INDIGNAÇÃO EXCLUSIVA P SUPREMA COE Unicamente antro desleal Patriotas biscoito ganhar população massa rua dizer repudiar Corte Vergonhosa,1
desarmar Geromel Maicon,0
fdp q matar próprio filha merecer muito madeirada ódio,0
odeior pessoa furar comigo esperar porra,1
satanás merecer queimar fogo inferno,0
passar gravidinha aq link,0
preguiça minar childfree mano filho ter ficar postar criança ser human,1
babaca diretor INPE querer colocar aumento 2017 2018 conta Bolsonaro 6 Tá certo Min Ricardo Salles Bolsonaro negar aumento questionar culpa Bolsonaro imbecil querer entender,1
tô pra ir,0
tô aguentar sala ódio,0
perfeito pena,0
link Dep nikole toc toc toc pf hasselman bolsonaro assista vídeo inscrevase canal dê Joinha ativar sininho notificação compartilhar,0
karmy contém cmg pra pqpr mimar infernooo oh Caralhoooooooooo,0
phish sigma Oasis 2529 link link,0
reparar link,0
colocar sigilo 100 ano outro assinar decreto facilitar transparência diferença,0
tnc professor vey,0
ter usar faca pra cortar pinto,0
fã dar estrela reagir,0
velho burro caralho,1
rt spoofing nome operação buscar hacker,0
rt fake foice sp,0
kkkkkkkkkk povinho fuder,0
Militante Defensora Ditaduras Angola Cuba Venezuela Defensora Corrup,0
ler comentário entender melhor pq apanhar rn,0
fila pra comido fila pra pagar comida pqp almoçar,0
senhora wpp mandar mensagem pra eu achar q Batista KKKKKKK pessoa errar cair desculpa filha anotar errar tchau,1
aula química durar eternidade eu,0
lixo verdadeiro canalha,1
blink tirar pau bts boca falar de ele próprio favskk auge,1
ALÔ RAPAZIADA VAMOS RESPEITAR DONZELAS PORCOS BÊBADOS IMUNDOS,0
caralhar voces tao chorar saida Malcom mds chegar OBVIO q nao ter muito oportunidade OBVIO n pra q chorar,0
ir pro salgueiro dia portela vila rio beijar flor tô dia,0
Lembra qnd ce gordo feio hoje,1
engraçado pagar boazinha vagabunda,1
mano enfiar faca fds,0
haver roupa ter igual porra,0
q stf vergonha nacional q lavar louça fdp,0
garoto burro caralho,1
pra porra Moss,0
perfeito,0
recado banheiro stl link,0
eu loader veron titular,0
evangélicopior ser pedra arremessar igual bumerangue prezar divirtase veneno,0
Vota praga de esse,0
pai viajar fin p casa,0
achar surreal q msm q luta pra eu qndo bglh errar q normal vida errar reajer menininha mimar ser q mimado 0 aspecto vida,1
Rafa sair pra viajar pedir pra eu cuidar cachorro de ela ai casa moa vizinho de ela dar chave errar tnc moa lerdo andar bucado Atoa,1
arrasar Chile Chile crescimento pitaco,0
cara ridículo,0
miltão acreditar aprovar,0
parabéns ministro,0
Bolsonaro aceitar VICEagora perguntar Dória aceitar vice colocar Bolsonaro vice,0
clube pessoa sair pra comprar 1 voltar monte treco,1
to nervosamuito nervoso pqp,0
fuder,0
saber 2019 transmissão vertical hiv ocorrer pessoa gestante criança eliminado cidade Paulo link,1
diferença 5050 gente dominar Manaus jogar serie B time ridículo,1
Parabéns Facchini,0
kkkkkkkkkkkkkkk pqp thiagao,0
rt parabéns daesang m2 top video m2 x genie Music awards 2019,0
nois,0
