mensagem,odio
cara viver outro mundo mundo real REFUGIADOS viver favela vizinho fortaleza,0
incompetente cuidar brasileiro pouco refugiado,1
cumpanhero quebrar regra,0
conseguir pensar sentido lato ver frente olho,1
dia macaco branco haha,0
imaginar ow mandar body opressor pra Duda he ahahahe,0
parabéns brar menina,1
PARABÉNS IRMÃO SAÚDE AMÉM,0
ah conviver comigo fds Precisava Pensando mto coisa trabalhar rs,0
sono rs Cheiros Tb adorar,0
oww lindo trabalho amanhã dó,0
Baummm hein gostoso andar reflexivo enmm paz Tb mto,0
básico hahaha,0
taí ótima sobremesa doce bolo,0
deixar lembrança saudade minarem enfrente ouça música lindo msm Conhece The Corrs,0
OUvir música preciso vc excelente lindo foda pq tô separar PQP,1
ceder encanto caír boca caro,0
perfume pra mão jovem amantepra mão Cappice,0
estimo foda ser profissional,1
dia sapatao vida,0
falar kkkk,0
n ta errado épesquisa gente burro mulher trabalhar homem,1
linha boné,0
93 0911 jhu viar lindo 93 0911 dj Luizinho dia sapatão Gostoza,1
eNEM 1 OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO SOMETIMES VIDA GADO ANA JULIA PA GANGNAM STYLE,0
EXTRA Imagine ser branco fazer muçulmano notícia país inteiro,0
EXTRAOFICIAL terrorista Louvre egípcio 29 ano chegar França passado equipe,1
FUTEBOL Escolinha ADC Santana Adc Pedreira Copa Rio Branco Amparo,0
1840 Max tomar cu 1840 Max gordo feio 1840 Max amor 1841 Leticia gordo Maxwell,1
Ê casa,0
DEIXA ADIVINHARPÉSSIMA PAI GORDA FEIA SEQUER ASSEDIADA ALGUÉMACHO HEIN,0
aaaaaaa falar trabalho refugiado ir conseguir,0
Aaaaaa Turma 9 homem prof falar cabo sapatão conector femea femea mundo olhar pra eu,1
afronta português pára,0
agência LiveAD Paulo adquirir 40 exemplar livro MeuAmigoSecreto Feminismo rede,0
Alemanha tornar sentir benefício imigrante invasão islâmico,0
1a mão Dia Namoradosa 2a calhar Dia Mulher BenficaDortmund criar testar relacionamento benfiquista,0
ameaça terrorismo radical islâmico real acontecer Europa Oriente Médio tribunal,1
AMPLA RETARDADOS FALAM MERDA GANHAM FAMA JOVENS DÉBEIS MENTAIS,0
perder linha verniz tolerante acabar estalar,0
atenção finalmente voltado infiltrado desocupar ser pegos,0
avaliar quantidade malta morrer 2016 In Memoriam ano durar 9 horita,0
abaixo exemplo manifestação direito orgulho hetero,1
bazófia Jesus assumir erro abafar Palhinha,0
abdnsndnns sair burca pra mostrar cara ninguém encima de ela,0
aberração adulto impor criança flácido ideologia gênero q,0
Abertas inscrição III Festival Dança acontecer abril Estação Cabo Branco,0
abismo desigualdade injustiço,0
bomba encontrar Nazaré detonar Panamá quase haver ano Expresso espera brigada mina armadilha,0
aborto crime repugnante vida frágil indefês,0
abrir janela tar gorda apartamento frente olhar pra chorar achar cair empadinha de ela,0
heueheueher fiquei achar branco arroz tb ideia olhar gostar açaí,0
Burra mulher esquecer celular ônibus ta chorar busão querer rir,1
acabar chegar Redacao Radio Angola seguinte informacao Pedro Gonga Liberdade,0
Acabámos adicionar data tour overdose Tourette 11 Fev Covilhã Bilhetes,0
Acabámos adicionar data Tour Overdose Tourette 24 Fev Ericeira Bilhetes FNAC,0
Acabei comemorar dia Internacional Mulher lavar louça,0
Acabei caso cunhada vascarpim féria render arte Rsss,0
Acabei ouvir cigano q chinês sujo higiene q viver dormer cliché morrer hj 16h09,1
Acabei ouvir casal rasta pessoa passar cheirar malpffffelo cheir champô,1
acabar pagar 20 real carregador pq esqueci começar dia sentir mulher burro Brasil,1
acabo nomear general HR McMaster Conselheiro Segurança Nacional,0
feliz dia mulher pra feminista vejer quão burra sociedade,1
cadeira copo lula,0
Base Militar Andrews Ministro Shinzo hoje,0
campanha continuar Acesse adquira livro,0
CARA FEIA VIVIAN GORDA ROBEA MELHORES COISAS EH,0
cara gordo feio Roberta,1
Acção,0
Aceitei trocar Benfica jantar romântico namorada pagar gasolina amanhã estar Catedral,0
ACEITE CHIFRES,0
censura democrático mau de ele arbitrário hipócrita cobarde Finge existir existir,1
Acham BANDIDO machista to entender logica feminista atitude bandido cometer,1
achar pagina,0
achar cabelo branco sintar ano tintura chegar,0
achar engraçado vcs falar Ustra idolatrar Che,0
achar irónico mulher ajudar NASA andar frente estar cadeira roda,1
achar ter meter carreira Bárbara Guimarães In memoriam,1
achar mó engraçado galero tentar chamar atenção fznd piadinha burro dia mulher,1
achar legal feminista compartilhar quebrando tabu chamar gorda feio briga macho parabéns p vc,1
achar q menina restaurante frente sapatão kkkkkk ficar olhar,1
achar perder vezKkkkkkkkk dó,0
achar Morango céu so pra rsrs tô Sampa n B Vista tar nubladim frio,0
achar Simone depender natal pra sobreviver Papai Noel,0
achar aceitar realmente jornalismo,0
achar sono resolver desaparecer junto dinheiro esperar dia têlos volta,0
achar ir gozar,0
achar cara redação Enem dever perder pq ficar claro sabor Miojo,0
achar tatuagem colorido ficar bonito gente branco,1
achar ir ai preguiça dormir xerus,1
achar ir carona mimir,0
ACHO RIDÍCULO RESPEITO HOMOFÓBICO,0
achar argumento ridículo mudar opinião conseguir refutar linha Resumo,0
cidade Viseu preparado receber 5a feira Despachemse garantir presença,0
hojeos parceiro media oficial significar conteúdo exclusivo,1
acima vitória esmagador classe,0
0841 Castelo Branco centro descriçãor atividade tecnico vistoria,0
q odio vida mulher machista Qnd escutor algum falar merda ficor mt abuso pq odeio gnt burra ignorante tb,1
Comissão Europeia afirmar hesitar aplicar sanção país recusar receber,0
Acompanhe agenda Ideologia Gênero País,0
acorda pra trabalhar ae cambada vagabundo,1
Acordar ler notícia dessasIsso mãe monstro inversão valor deus,0
defender amigo BANDIDOS CORRUPTOS partido poder aceitar ficar P v,0
