mensagem,odio
USER Adorei comercial Jesus achar faltar beijinho gay estilo Jesus USER Rsrsrs,1
cara babaca USER conhecer Monark merda falar merda USER to decepcionar pra caralho caber eu,1
ligar pra judeu kkkk,0
vc porco folgar relaxar ir conseguir viver realmente gente escroto ir conseguir conviver Jojo,1
USER Toma cu vitamina prima,1
ser sniper ir louco,0
USER saco USER USER USER,0
muito gente julgar falar besteira USER errar trair ficar mulher casar homem coloquar de ele morar rua mulher tempão transar surgir oportunidade amigo praticamente ir recusar Ser sincero coloquar de ele julgar galera estar errado mulher polêmica errado tá oportunidade mudar vida bastar querer crescer olho essencial acompanhamento psicológico passar ficar mulher alheio pq matar,1
USER Trasmonte olhar besta quadrar,0
USER estragar podcast falar muito mer fundamento conhecimento causa detalhe acontecer pq conseguir defender absurdo absurdo absurdo ser absurdo tamanho parar seguir acompanhar canal decisão tardio enfim acertar Flow esperar aprenda erro tornar humano bom voltar Flow,1
USER USER exatamente abusar pra caralh família tradicional brasileiro USER,0
arrumar trabalho limpar bosta cavalo rua USER,1
desgraçar URL,0
país extremamente homofobico necessário ensinar respeito amor,1
USER demoníaco chato mentiroso baba pegar dinheiro USER hora hora coronavius bolsonario filho USER,1
USER el ternero MAMANDO,0
AAAAAA ADRIAN SUAR HIJO RE PUTA ODIO URL,0
USER To realizar igual Gordola tar jogo,0
USER Matadora,0
aventura mulher louco poder ocorrer mau,1
USER USER USER Zelensky n nazista n mandar soldado ucraniano atacar assassino russo checheno terrorista perguntar novamente pq vc assassino putin hamas terrorista,1
look lolla simplesmente sequência imbecilidade atroz grosseria vulgaridade momento imperdoável,1
falar de ela parecer maníaco sexual descrever corpo roupa juntar mulher problema psiquiátrico mental dar nissoAcredito certo maneira induzir mulher querer ninguém história vitimo confiar deixar filha esposo cara,1
USER mesmo USER USER junto maluco forgar porra,0
USER Dale Seas mentiroso gordo,1
partido chamado P T P Sol sao doenca pra nacao enfermo,0
USER Velho fdp,0
