mensagem,odio
Votaram PEZAO tomar CZAO,yes
cuidado poupanca pessoal Lembram acontecer epoca Collor ne,no
achar engracado governante nao pensar cortar regalia beneficio desnecessario favorecer sera ne claro ate nao enxergar sao estao la defender proprio interesse empresario casso tambem comecar tomar atitude mudar roubalheira pais tendencia so piorar dinheiro investimento nao aumento salario regalia nao,no
Podiam retirar lucro banco,no
CADE GALVAO PRA NARRAR FALIIIIUUUUUUU FALIIIUUUUUUU FALIIUUUUUUU,no
nao possivel deputado ter tanto cargo comissionar dispor precisar cortar,no
Ser honesto aprovar projeto original ir acabar farra Brasil,no
nao pizza anunciar anistia caixa divulgacao lista Odebrecht,no
ja ver bandido fazer lei anticorrupcao,no
olha cara fazer util interesse publico,no
ai MBL mobilizar pr rua ironio,no
teori seguro bronca stf,no
AVANTE MEDIDAS Brasil clamar pra corrupto Cadeia em ele,no
Haver previsao entrar plenario comeco novembro preciso aprovar projeto lei medida anti corrupcao milhoes assinatura necessario tambem preservar conteudo original projeto,no
baguncado jeito de aqui ha juiz instancia mandar grampear ministro stf ja nao acontecer prova colher fe lei magistratura resquicio monarquia tambem precisar revogar,no
politico jamais aprovar lei prejudicar direto indiretamente PEC desdobro crise Brasil devido dezena centena bilhoe real desviar ano Brasil dinheiro amigo diferenca,no
Limitar ano salario politico mesmo cocega ganhar triplo ganhar nao ter patrimonio luxo ostentar,no
problema sao salario PROBLEMA sao verba eventual desembargador receber justica cego cara pedir vista nao ta enxergar nadaou cego ne STF,no
Judiciario Acreditam indice,no
gerar riqueza nacao trabalhador Politicos funcionario publico nao gerar riqueza utilizar de ela caso Brasil roubar inventar medida nao parar corrupcao pai nao mudar so piorar,no
novinha receber alguem salario de ela aivar mandar cortar,no
Renato voce razao acabar desgoverno passado populista inves ensinar pescar peixe perpetuar custo,no
relevante mulher de ele voluntar,no
Diminua salario tbm presidente Coloque teto salario politico Estabeleca aumento salario acompanhar aumento salario minimo,no
nao esqueca justica tb juiz desembargador etc etc,no
voces sao idiota Voces saber executivo interfira poder salario sao vincular texto constitucional informar nao ser santo pra nao passar vergonha falar nao saber,yes
Falar algum mentira,no
voce falar,no
Resumiu operar,no
ver hipocrisia pessoa so Tentando cortar gasto necessidade basico populacao conceder aumento absurdo classe apoiar golpe Sabemos carne cortar,no
Ricos continuar rico pobre continuar pobre retirar dignidade delesisso,no
Alexandre Acioni estudar pra comunista medida Temer sao mau comunismo voce pobre meter besta ficar repetir mazela igual papagaio repeticao,yes
nao cortar gasto politico,no
saude educacao emprego seguranca nao existir pai lamentavel,no
Pec dinheiro terar sair algum ser impor aumento ja existente problema educacao Saude seguranca corrupcao resolver sobrar dinheiro area,no
isencao imposto igrejaschega bagunca,no
taxar dinheiro doacoe Coitar mendigo,no
Unico corte verdadeiramente carne acabar excesso beneficio diminuir salario politico Ahh claro diminuir quantidade de eles tambem,no
Deveriam nao responder perguntar la PF,no
presidente nao ter coragem propor acabar regalia beneficio deputado senador eu continuar presidente caso ser candidato reeleicao nao ter voto,no
Paulo Bertazzi voce ditadura,no
sr presidente Brasil vir reforma chegar mimimi ir trabalhar,no
pobre metido besta ja ja ficar dinheiro sentir bom tempo,yes
Bons tempo Brasil bom tempo entao lembrar ai nao lembrar nao HAHAHA,no
engracar PAGAR PATO RECHEADO GORDO,no
pra ir kkk pra politico ir politico receber,no
Martin Sales deixar idiot ninguem discordar temer Mortadela so pai pobre meter besta defender,yes
viva lavar jato vir delacoe politico corrupto cana,no
Bernardo Cabas deputado federal ja estao movimentar anistiar caixa existir ate dia hoje So condenacoe de aqui Estao quebrar espinha dorsal lava jato delacao premiar,no
Repatriacao dinheiro parente laranja,no
cortar proprio carne ver so ze povinho ferrar Cortar carne diminuir inchaco maquina publicar diminuir ganho politico,no
carne nao receber salario minimo ja aposentado nao precisar SUS educacao publicar unico carne cortar pobre politico rico serao atinginr,no
reforma tributar mercado divida cortarao carne Juros Divida publicar levar cerca quarenta tres orcamento gasto primario nao chegar PEC nao resolver,no
perfeito Marcio Lembrando politico sao donossocio empresa plano saude escolasfaculdadesuniversidade particular preciso desenhar,no
Brasil crise precisar adotar corte gasto populacao aumento salario juiz edeputar tao simples entender,no
verdade ir compreensivo,no
Rodrigo realmente facil compreender compreender golpe mestre ah ah ah,no
pais rico roubalheira atrave seculo acabar quebrar medida arrochar trabalhador nao enganar nao so partido roubar,no
cortar proprio carne reduzir Deputados Federais Senadores gabinete aa consequente reducao mordomia,no
Temer falar cortar proprio carne entao nao comecar cortar aumento q sancionar ministro deputado ja bom desempenho nao preferir tirar gente q de ele mesmo,no
cara velho asqueroso,yes
populacao tao manipulado so entender lado nao dever nenhum Dever lutar locupletar dinheiro ser partido,no
nao verdade governo milhoes funcionario publico sobrar nao cortar mundo estao cortar carne nao carne verme ja chegar Temer,no
Caro presidente Temer Sr falar cortar proprio carne começar mordomia Srs aposentadoria sr previdencia diferenciar politico item observar nao empacotador mercado esquina nao zombe inteligencia gentileza,no
ir cortar gasto publico ir cortar funcionario confianca indicar politico ir cortar funcionario alto escalao indicar governo concurso publico capacitacao tecnico adequado ir cortar quantidade politico,no
FMI ja afirmar paise incluir potencia economico medida adotar Brasil sao DURAS INFLEXIVEIS Alguem ja ler defender ASSUNTO SERIO MEXER VIDA,no
FMI nao mandar economia mundial vao mer rda,yes
especialista afirmar PEC nao principal razao nao atacar problema real rombo orcamento PAGAMENTO JUROS DIVIDA NAO AUDITADA foge logica pagar juro divida arrecadacao so crescer,no
ESPECIALISTA MENTIR PRA,no
SAO QUASE SO PAGAR JUROS DIVIDA reforma tributar PRINCIPALMENTE REFORMA DIVIDA PUBLICA ninguem mexer ja contrariar poderoso emprestar dinheiro Brasil ligar FMI facil culpa trabalhador programa social nao representar fatia orcamento,no
nao implantar imposto fortuna auditar divida ilogico so aumentar apesar aumento arrecadacao,no
nao existir especialista economia funcionar Aumentar gasto publico exigir sociedade imposto cobrir gasto governo incompetente sao DURAS INFLEXIVEIS nao simplesmente querer aumentar imposto nao dinheiro pra gastar sociedade tambem precisar dinheiro pra estimular economia sociedade nao conseguir pagar imposto entao nao aumentar gasto,no
Marcio Oliveira governo dever acabar privilegio STF congresso camara deputado CNJ ser judiciario principalmente auto escalao governo medida tirar costa trabalhador imoralidade,no
Paulo Henrique nao esquerda nao tratar ideologia partidaria pessoa precisar procurar fonte seguro antagonica assunto logica olhar problema macro,no
alem traira hilariona propr carne KKKKKkkkkkkk,no
unico carne q cortar oferecer JANTARESFILE MIGNON,no
TEMER ABAIXO REDEGLOBODECORRUPCAO,no
CONGELAR SALARIO POLITICOS SAO NEFASTOS NACAO,no
batedor panela piscador luz varanda cara de ele,no
Irao sentir proprio carne estar inferno pagar estao fazer,no
haver presidente gastar bom comecar proprio conta,no
Deviam perguntar carto corporativo gastar milhoes outro governo dever zera cartoe,no
PEC cortar carne politico estao intacta salario de eles aumentar regalia continuar desvio dinheiro tambem continuar lavar jato nao detectar ai Brasil politico farinha saco eleicoe procurar vender voto politico nao voto ficar optativo prejudicar tange eleger comprar voto manipular burro educacao saude direito,no
PAULO VOCE BURRO,yes
VAO BATE PANELASSEUS BURROSBEM FEITO,yes
saude Educacao nao gastar investimento acabar farra publicar dinheiro acabar foro privilegiar regalia punicao grave crime corrupcaoPior cego nao enxergar nao sera saude Brasil,no
ser petralha estar criar bolsa ate virarmos Venezuela,no
cortar proprio carne acabar financiamento partido politico,no
cortarsea proprio carne proprio carne nao de ele,no
Ministros farra dinheiro publico,no
vao dinheiro volta sanguessuga,no
cortar carne regalia politico Brasilia ir sacrificio Temer,no
ate so cortar acer file Mignon continuar nadar bracada,no
so conversa mole golpear nao Temer,no
corta proprio carne povao enganar es goto Televisao,no
Impopular ja Mordomo cortar proprio carne nao nao carne,no
To gasto carto corporativo utilizacao avioe FAB subir cortar carne,no
cortar proprio picanha churrasco domingo faltar churrasqueiro,no
nao reduzir salario milionario classe politico nao nao criar lei politico arquar despesa nao acabar foro privilegiar parlamentar nao criar mecanismo pra colocar corrupto cadeia devolvir roubar,no
concordar PEC ver reportagem hoje G farra ministro Aviao FAB fiquei revoltadoEsse pai nao conserto nao,no
farra ministro POLITICOS gente governo Aviao FAB pagar conta corte carne nao existir viajar Aviao carreira ai acreditar,no
ahhh cortar proprio carne Vou ficar medo entao cortar carne,no
assumir so Falafalamas Resolucao,no
sr presidente Brasil vir reforma chegar mimimi ir trabalhar,no
aumento amiguinho ferro,no
precisar reduzir custo Brasilia Reducao privilegiosreducao numero deputado senadoresreduzir numero instancia recursal judiciario,no
nao ver corte algum DEIXAR GASTAR nao cortar,no
inves tirar populacao pobre tambem nao criar imposto fortuna exonerar cargo partariar comissao corte salario regalia deputado senador secretario presidente Republica diminua salario auto magistrado ai comeco acreditar governo Brasil bom,no
filme novela culpa mordomo,no
Temer expliquar sentir proprio carne ja nao vao cortar verba,no
Ahahahahaha voce deverar trabalhar dobro triplo nao,no
senado pagarar R reforma gabinete Romero Juca PMDBRR,no
lembrar Marcos Alves PEC importante tao sonhado reforma politico ja participar,no
dinheiro mao precisar suprir necessidade ser casa empresa municipio pai unico aonde economizar cortar pra nao negocio afundar restante sao julgador nao saber acontecer,no
discordo parte inves tirar populacao pobre tambem nao criar imposto fortuna exonerar cargo partariar comissao corte salario regalia deputado senador secretario presidente Republica diminua salario auto magistrado ai comeco acreditar governo Brasil bom,no
voce ver ja ser cobrar imposto pessoa aplicar dinheiro paise cortar salario aumentar impor ai nao resolver problema agravar cortar gasto desnecessario valer,no
governo nao carne carne estao cortar ver deservico publico,no
cortar proprio carne Ministros ter burlar regra FAB voo,no
Brasil amanha dizer porem Amanha falar recuperacao pai longo prazo ano ate la governo ai Brasil ja nao estar afundado vezVai ver,no
melhor comecar cortar despesa de ele nao haver ate entao nenhum presidente gastar tantocomece cortar proprio carne,no
cortar carne Pq auto salario mordomia nao entrar limite pec maldadefora temer,no
engracado meter mao dinheiro populacao querer ajudar empresa privado OI dinheiro publico jeito esperar outro meteoro reset novamente,no
cortar propria Carne churrasco planalto chamar unico Carne cortar mamata de eles,no
hahahahahahahahaa hahahahahaha piada cara,no
reforma urgente proximo previdencia PEC fichinha,no
cortar proprio carne aumentar gasto propaganda ta,no
hUAHUAHUAHUAHUAHUA PIADA pRESIDENTE,no
so acabar farra cartoe corporativo,no
Gastando MILHOES carto corporativo Hipocrita,no
gerar impopularidade eleitor parlamentar,no
QUera pq pagar erro politico Pq nao cortar proprio salario verba gabinete mandar Monte auxiliar parlamentar so servira sugar dinheiro publico Acabem roubalheira q Brasil avanca,no
pais sair crise economico sair alto investimento educacao tecnologia Ja Brasil receita contrario resultado ja saber volta Republica Banana classe media voltar pobreza pobreza voltar semiescravidao,no
politico ai Brasilia praticamente nenhum ficha limpo sao grande ladroes Brasil,no
acabar mordomia comunista vao trabalhar corrupto,no
crescimento,no
claro nao Votacao G ai PEC verdinho vermelho ir realmente impopular,no
lista cinquenta item tivessemos Governo diferente Governantes so pensar enriquecimento proprio,no
PEOCUPEMOS PAIS SUJOOS OUTROSPROBLEMA DELESIGNORANTES,no
carne carapaler,no
vario aposentadoria sentir corte kkkkkkkkkkkk,no
finalmente chegar hora trabalhar pra coisa pai Ja sentir trouxa trabalhar pra comprar coisa,no
preparemse corte concurso publico poderao colocar apadrinhado alto salario concurso verba saude educacao seguranca publicar aguardar aumento assalto reduzir gasto bastar corte alto salario cargo comissionar concurso beneficio gestor,no
carne Aumento vario categoria servidor servis dao suporte ser fazer unico sentir impacto real incrivel pareca tao alienado parcela loucura,no
tonto acreditar palhacar cortar pobre necessitar saude educacao governo pra aprovar terceirizacao mes vao aprovar caixa Delacoes Odebrecht poder realizar nao punir imundo,no
nao golpe Dilmae bonito trabalhador colocar la novamente,no
NOCAOSEM ARGUMENTO ADESTRADOJOGA CULPA,no
Antonio Oliveira VENEZUELA GASOLINA VALE CENTAVOS DOLAR POTENCIA,no
nao reconhecar governo ilegitimo golpista Temer companhia,no
ninguem importar vc mae,yes
palestra analfabeto quantas proferir apo Lava Jato,no
presidente vir reforma ir trabalhar chegar mimimi,no
Povao governo cortar direito previdenciario cortar gasto educacao saude manter privilegio poderoso nao poder aceitar ir protestar ir Lulo Lulala,no
so vejo comunista PEC resto q vejo sao,no
enfim iniciativa vista futuro nao so proximo eleicao,no
Heranca governo anterior,no
falar heranca sao ano PEC haver heranca pra deixar,no
vOCE BRINCALHAO,no
Parabens Pres tomar mediar duro culpa PTe,no
lascar miquinho amestrar,yes
IDIOTA,yes
pro tanque Sras Sonia,yes
Sonia cartao corporativo presidente ja bater casa R Milhoes,no
ja ouvir algum dia falar antena nao longo alcance nao ne rsrs,no
perfeita explicacao fisica Antonio Souza achar OC OT ninguem transmitir ne,no
famoso transglobe Philcoso servir pra ouvir radio Paraguai,no
FM loge nao chegar Acabar radio interior despovoar meta,no
Leier noticia tristeza transmissao AM unico possibilidade ouvir radio lugar longinquo Brasilsao transmissao FM limitar alcance devido frequencia radio transmissao modalidade sao autorizar legal nao precisar Sr presidente trabalho contrario dever estimular radio transmissao AM local populacoe necessitar acesso transmissoes Radio ate inclusao social inclusao Nacional pena,no
