mensagem,odio
Geraldo Alckmin vs Jair Bolsonaro esquerda escolher ficar merenda cu,0
vacilar buceta q to segurar celular entror Buso pq medroso,0
dia jovem passar vergonha Internet,0
chip claro,0
lixo vir tona,0
porra mãe botar 20 real crédito eu crédito chegouchip tóxico,0
excitar rabo viado psicopata escrotar filho puta atacar cagor merda mané filho puta,1
ouvir avô obra bolsonaro ok link,0
Rapunzel,0
rt n existir gente gostar lixo,0
pessoa dever ouvir garota presidente aparecer tv causa fala cabir líder país,0
DEPUTADAS BANCADA FEMINISTA TIRAM PROVEITO DIA INTERNACIONAL MULHERES,0
achar,0
jeito nenhum caso Mta gnt vir mimimi pra querer so q n tar achar d,0
vc n fandom n conviver cm gente sair faland merda deixar levar mentira problema entender q nng ameaçar nng LASCAR,0
mercado reager movimentação político caso procur queda bolsa Argentina taxa juro,0
obstáculo casa,0
amar carioca,0
Crie filha forte entenda corpo regra Evitem fraco verdade poder impor mentira pescoço rédea Deuses ateu ficar foda pra caralho,0
avaliei pretty girls 4 5 estrela link,0
vc n curitiba n ter tar andar regata reclamar calor,0
proibir merda,0
saúde link,0
ir colar testa,0
caloteira,0
ustra homenagear che homenagear,0
pai pupila pobi tamanho mundo desviar olhar bichinha viver jogo prova resistência msm,0
preciso sair mão c alguém p liberar raiva,0
claro né,0
tá esquerda falar incendiar país ninguém falar,0
poder sair Logan preto branco várias musica Johnny Cash,0
hoje rap cervo erva muito larica,0
S restar 8 busca Eis levar novembro brasileiro,0
agua link,0
cu,1
t friu,0
irmao negócio super blá blá blá tar servir pra exol falar nct puta merda,0
pqp professor contar comigo pra,0
desistar viver sociedade,0
raiva pqp,0
rt amigo fei pqp,0
refugiado Muçulmanos flagrar atacar Polícia Nacional Francesa manifestante anarquista,0
criminoso vir pronto,0
notícia plantar mto kkk,0
achar ir morrer fumar cigarro,0
vagabundo junto dia 13 mandar currículo pra sair inutilidade membro unir,1
pq foto bom postar pq feio,0
pai matar filha 6 ano tirar escola pra desconfiar agressão tar guarda criança pra pagar pensão 200 REAIS tomar cu país lixo,0
patriarcado brasileiro Homens nojento veer menina mulher,0
ai vcs sao chato pa caraio,1
epiduo começo dps vitacid gel,0
Gente perguntar criminos começar revolução queimar onibus invadir residencia promover terrorismo fazer Chile qie esperar governo responda livro flor,0
mano morar gente preguiçoso inutil nao mover musculo pra porra minimo,1
odio fixo xoxa capengo,0
vagabundo,0
direito bolsonaro,0
elemento falar frase insultar desprezar desmerecer algum mulher criar criatura,1
mulher doentepilantra,0
trabalhar palhaço palhaçada,1
Bruxa ladrar dozinferno,1
arrendar pra plantar saca consiga manter ir q rebolar,0
eu eu coloque porra pedestal,0
amar tt,0
Manuela doar salário pra eu COMUNISTA,1
rt vídeo antigo putinho cavalgar vms marcar orgia colocar bagulho doidão,0
Joice vc ta pior pirralha,0
aproveitar foto,0
par amigo link,0
fetiche rola kkkkkkkkkkkkk,0
cacife representante Povoele capacidade intelectual exercer cargo público,0
ir ficar calado,0
dia pra acordar presente jornalista VERGONHA canal CANALHA haver,0
rt veloz furioso começar vingador terminar moano,0
kkk,0
